Method: POST; URL: /api/users%20; Status: 404; Message: -; DateTime: 28/04/2021 9:13;
Method: POST; URL: /api/users%20; Status: 404; Message: -; DateTime: 28/04/2021 9:13;
Method: POST; URL: /api/users%20; Status: 404; Message: -; DateTime: 28/04/2021 9:13;
Method: POST; URL: /api/users%20; Status: 404; Message: -; DateTime: 28/04/2021 9:13;
Method: POST; URL: /api/users%20; Status: 404; Message: -; DateTime: 28/04/2021 9:13;
Method: POST; URL: /api/users; Status: 400; Message: role tidak sesuai; DateTime: 28/04/2021 9:15;
Method: POST; URL: /api/users; Status: 400; Message: Format username tidak sesuai; DateTime: 28/04/2021 9:16;
Method: POST; URL: /api/users; Status: 201; Message: Berhasil menambahkan user baru; DateTime: 28/04/2021 9:16;
Method: POST; URL: /api/users; Status: 400; Message: Format username tidak sesuai; DateTime: 28/04/2021 9:16;
Method: GET; URL: /api/users/login; Status: 404; Message: -; DateTime: 28/04/2021 9:20;
Method: POST; URL: /api/users/login; Status: 404; Message: Username tidak terdaftar; DateTime: 28/04/2021 9:20;
Method: POST; URL: /api/users/login; Status: 400; Message: Password user salah; DateTime: 28/04/2021 9:20;
Method: POST; URL: /api/users/login; Status: 400; Message: Password user salah; DateTime: 28/04/2021 9:20;
Method: POST; URL: /api/users/login; Status: 400; Message: Password user salah; DateTime: 28/04/2021 9:20;
Method: POST; URL: /api/users/login; Status: 201; Message: Berhasil melakukan login; DateTime: 28/04/2021 9:21;
Method: POST; URL: /api/users/login; Status: 201; Message: Berhasil melakukan login; DateTime: 28/04/2021 9:33;
Method: POST; URL: /api/users/login; Status: 201; Message: Berhasil melakukan login; DateTime: 28/04/2021 9:35;
Method: POST; URL: /api/teams/; Status: 401; Message: unauthorized; DateTime: 28/04/2021 9:49;
Method: POST; URL: /api/teams/; Status: 401; Message: Token is invalid; DateTime: 28/04/2021 9:49;
Method: POST; URL: /api/teams/; Status: -; Message: -; DateTime: 28/04/2021 9:51;
Method: POST; URL: /api/teams/; Status: -; Message: -; DateTime: 28/04/2021 9:53;
Method: POST; URL: /api/teams/; Status: -; Message: -; DateTime: 28/04/2021 9:54;
Method: POST; URL: /api/teams/; Status: 201; Message: Berhasil Menambahkan Team; DateTime: 28/04/2021 9:58;
Method: POST; URL: /api/teams/; Status: 201; Message: Berhasil Menambahkan Team; DateTime: 28/04/2021 10:0;
Method: POST; URL: /api/teams/; Status: 201; Message: Berhasil Menambahkan Team; DateTime: 28/04/2021 10:0;
